content_hash_id,client_hash_id,baseline_rank,baseline_score,reason_code,rule_old,rule_never_opt,rule_thin,rule_no_keyword,is_below_peer_median,content_age_days,ever_optimized,word_count,has_keyword_data
content_fa42b816b401dd93,client_3ffa76342f366962,157,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,228,0,779,0
content_29ddfde3a193b6a8,client_3ffa76342f366962,158,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,226,0,929,0
content_76aefc7358625599,client_3ffa76342f366962,159,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,225,0,906,0
content_7b05f7b6566ce52e,client_2e65897d94f60220,160,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,230,0,1567,0
content_98154a3b5baab58e,client_d211cb07b9059bab,161,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,204,0,1199,0
content_93f550a300fb289c,client_795153d5b7850ccf,162,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,212,0,1495,0
content_879c81e9b84fc9fc,client_795153d5b7850ccf,163,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,210,0,1461,0
content_3cd15047a9efec38,client_65de48885f4ef01b,164,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,279,0,1173,0
content_63067b7ce812c127,client_8ae2bfb5aa1ffa1e,165,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,212,0,1237,0
content_db297dff52850ce2,client_d211cb07b9059bab,166,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,229,0,1592,0
content_65568e7c035d631f,client_3ffa76342f366962,167,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,235,0,840,0
content_1d7fdbb1a6517859,client_c182d11e4862a37d,168,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,267,0,1422,0
content_2e0537475e993b56,client_c182d11e4862a37d,169,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,237,0,1513,0
content_09e0143fffc38253,client_c182d11e4862a37d,170,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,234,0,1508,0
content_eb20f04af2fb3ce7,client_c182d11e4862a37d,171,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,219,0,1636,0
content_5825598872a079b3,client_c182d11e4862a37d,172,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,207,0,1276,0
content_b4de3c96bf7c8f8a,client_9958f0a7ae1df715,173,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,447,0,0,0
content_1cd21738e59ebab5,client_ff644d8251367cbb,174,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,390,0,0,0
content_49543f5d3479b058,client_65de48885f4ef01b,175,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,280,0,1200,0
content_035ac338fac79f22,client_c182d11e4862a37d,176,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,487,0,0,0
content_ca61d8d6459c6a69,client_65de48885f4ef01b,177,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,216,0,1434,0
content_b63ede83893c2166,client_08a6a72ff48e62c0,178,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,343,0,0,0
content_0ade6ac79f19db17,client_2e65897d94f60220,179,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,252,0,1274,0
content_913ee655d918d1a0,client_2e65897d94f60220,180,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,213,0,1446,0
content_abf2f7e9afb4d750,client_2e65897d94f60220,181,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,210,0,1533,0
content_0040def4e89dd1ae,client_2e65897d94f60220,182,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,209,0,1649,0
content_81f3cce75d9e4f5b,client_2e65897d94f60220,183,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,205,0,1310,0
content_3a805d003de2375d,client_65de48885f4ef01b,184,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,277,0,1262,0
content_4472ddf001d28d6d,client_65de48885f4ef01b,185,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,270,0,1069,0
content_f43b518db8439434,client_65de48885f4ef01b,186,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,258,0,1404,0
content_676524781243883a,client_65de48885f4ef01b,187,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,252,0,1141,0
content_4a5e040f5347cfb0,client_73cda7b4e4f265ea,188,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,393,0,0,0
content_182101404f69e88f,client_73cda7b4e4f265ea,189,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,396,0,0,0
content_246500d65ee18ec9,client_3ffa76342f366962,190,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,231,0,758,0
content_75aa4945203fab36,client_3ffa76342f366962,191,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,230,0,910,0
content_a8ced79c7b93996f,client_3ffa76342f366962,192,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,223,0,727,0
content_585ef7e72adcc668,client_3ffa76342f366962,193,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,222,0,954,0
content_a6c64bdd4a3dfcd2,client_3ffa76342f366962,194,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,220,0,832,0
content_90944ae933072650,client_2e65897d94f60220,195,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,231,0,1215,0
content_dcef68e26a1eaece,client_2e65897d94f60220,196,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,216,0,1572,0
content_a63c06e348d494ad,client_2e65897d94f60220,197,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,216,0,1245,0
content_72bd86c502cd15ec,client_795153d5b7850ccf,198,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,240,0,1426,0
content_3b419682c4ce825d,client_795153d5b7850ccf,199,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,238,0,1577,0
content_252b1a632acb3e98,client_3ffa76342f366962,200,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,212,0,664,0
content_dcfc1f02f71829cc,client_65de48885f4ef01b,201,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,252,0,1224,0
content_5bf65e093a4b7489,client_65de48885f4ef01b,202,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,251,0,1438,0
content_789fe6514eddaf0c,client_65de48885f4ef01b,203,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,233,0,1112,0
content_a2a47a83fbabe5d7,client_c182d11e4862a37d,204,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,272,0,1545,0
content_6847a96996246988,client_c182d11e4862a37d,205,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,241,0,1087,0
content_205fd738fcb9a050,client_c182d11e4862a37d,206,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,238,0,1486,0
